Sun_x,Sun_y, Merc_x,Merc_y, Earth_x,Earth_y, Jup_x,Jup_y
0.000000e+00,0.000000e+00, 5.790900e+10,0.000000e+00, 1.495979e+11,0.000000e+00, 7.785470e+11,0.000000e+00
1.742091e+03,0.000000e+00, 5.761362e+10,4.136832e+09, 1.495536e+11,2.573856e+09, 7.785454e+11,1.128384e+09
5.226419e+03,8.078424e+00, 5.702212e+10,8.252401e+09, 1.494650e+11,5.146950e+09, 7.785421e+11,2.256766e+09
1.045283e+04,3.235047e+01, 5.613531e+10,1.232523e+10, 1.493322e+11,7.718519e+09, 7.785372e+11,3.385143e+09
1.742085e+04,8.094808e+01, 5.495560e+10,1.633375e+10, 1.491551e+11,1.028780e+10, 7.785307e+11,4.513512e+09
2.612971e+04,1.619987e+02, 5.348702e+10,2.025642e+10, 1.489338e+11,1.285403e+10, 7.785225e+11,5.641873e+09
3.657832e+04,2.836028e+02, 5.173527e+10,2.407183e+10, 1.486683e+11,1.541645e+10, 7.785127e+11,6.770221e+09
4.876526e+04,4.538106e+02, 4.970769e+10,2.775891e+10, 1.483587e+11,1.797429e+10, 7.785012e+11,7.898555e+09
6.268880e+04,6.805979e+02, 4.741331e+10,3.129700e+10, 1.480051e+11,2.052680e+10, 7.784881e+11,9.026873e+09
7.834689e+04,9.718410e+02, 4.486281e+10,3.466602e+10, 1.476074e+11,2.307321e+10, 7.784734e+11,1.015517e+10
9.573716e+04,1.335292e+03, 4.206846e+10,3.784662e+10, 1.471660e+11,2.561276e+10, 7.784571e+11,1.128345e+10
1.148570e+05,1.778554e+03, 3.904416e+10,4.082033e+10, 1.466808e+11,2.814470e+10, 7.784391e+11,1.241170e+10
1.357033e+05,2.309055e+03, 3.580527e+10,4.356970e+10, 1.461519e+11,3.066827e+10, 7.784195e+11,1.353993e+10
1.582730e+05,2.934024e+03, 3.236865e+10,4.607845e+10, 1.455796e+11,3.318271e+10, 7.783982e+11,1.466813e+10
1.825625e+05,3.660468e+03, 2.875247e+10,4.833159e+10, 1.449639e+11,3.568727e+10, 7.783753e+11,1.579630e+10
2.085680e+05,4.495151e+03, 2.497617e+10,5.031556e+10, 1.443051e+11,3.818121e+10, 7.783508e+11,1.692443e+10
2.362856e+05,5.444570e+03, 2.106030e+10,5.201836e+10, 1.436033e+11,4.066377e+10, 7.783247e+11,1.805253e+10
2.657110e+05,6.514940e+03, 1.702641e+10,5.342964e+10, 1.428587e+11,4.313421e+10, 7.782969e+11,1.918059e+10
2.968399e+05,7.712176e+03, 1.289688e+10,5.454080e+10, 1.420714e+11,4.559179e+10, 7.782674e+11,2.030862e+10
3.296677e+05,9.041880e+03, 8.694792e+09,5.534508e+10, 1.412418e+11,4.803577e+10, 7.782364e+11,2.143659e+10
3.641899e+05,1.050933e+04, 4.443727e+09,5.583760e+10, 1.403701e+11,5.046541e+10, 7.782037e+11,2.256453e+10
4.004016e+05,1.211946e+04, 1.676215e+08,5.601542e+10, 1.394564e+11,5.287999e+10, 7.781694e+11,2.369241e+10
4.382979e+05,1.387689e+04, -4.109425e+09,5.587756e+10, 1.385011e+11,5.527877e+10, 7.781334e+11,2.482025e+10
4.778741e+05,1.578589e+04, -8.363325e+09,5.542502e+10, 1.375045e+11,5.766103e+10, 7.780958e+11,2.594804e+10
5.191252e+05,1.785037e+04, -1.257018e+10,5.466075e+10, 1.364667e+11,6.002606e+10, 7.780566e+11,2.707577e+10
5.620464e+05,2.007394e+04, -1.670647e+10,5.358962e+10, 1.353881e+11,6.237314e+10, 7.780157e+11,2.820344e+10
6.066328e+05,2.245987e+04, -2.074919e+10,5.221839e+10, 1.342690e+11,6.470155e+10, 7.779732e+11,2.933105e+10
6.528798e+05,2.501110e+04, -2.467606e+10,5.055561e+10, 1.331097e+11,6.701060e+10, 7.779291e+11,3.045861e+10
7.007827e+05,2.773030e+04, -2.846564e+10,4.861157e+10, 1.319106e+11,6.929959e+10, 7.778833e+11,3.158609e+10
7.503370e+05,3.061983e+04, -3.209750e+10,4.639818e+10, 1.306720e+11,7.156782e+10, 7.778359e+11,3.271352e+10
8.015383e+05,3.368178e+04, -3.555231e+10,4.392888e+10, 1.293942e+11,7.381461e+10, 7.777869e+11,3.384087e+10
8.543824e+05,3.691799e+04, -3.881200e+10,4.121850e+10, 1.280776e+11,7.603927e+10, 7.777362e+11,3.496815e+10
9.088653e+05,4.033008e+04, -4.185986e+10,3.828314e+10, 1.267226e+11,7.824112e+10, 7.776839e+11,3.609536e+10
9.649832e+05,4.391946e+04, -4.468056e+10,3.514005e+10, 1.253296e+11,8.041951e+10, 7.776300e+11,3.722249e+10
1.022732e+06,4.768735e+04, -4.726030e+10,3.180746e+10, 1.238990e+11,8.257376e+10, 7.775744e+11,3.834955e+10
1.082110e+06,5.163481e+04, -4.958683e+10,2.830446e+10, 1.224312e+11,8.470323e+10, 7.775172e+11,3.947652e+10
1.143112e+06,5.576276e+04, -5.164949e+10,2.465084e+10, 1.209267e+11,8.680725e+10, 7.774583e+11,4.060341e+10
1.205736e+06,6.007200e+04, -5.343922e+10,2.086696e+10, 1.193858e+11,8.888520e+10, 7.773979e+11,4.173022e+10
1.269979e+06,6.456325e+04, -5.494861e+10,1.697362e+10, 1.178090e+11,9.093644e+10, 7.773358e+11,4.285694e+10
1.335839e+06,6.923714e+04, -5.617187e+10,1.299189e+10, 1.161969e+11,9.296033e+10, 7.772721e+11,4.398357e+10
1.403314e+06,7.409426e+04, -5.710480e+10,8.943021e+09, 1.145498e+11,9.495627e+10, 7.772067e+11,4.511010e+10
1.472400e+06,7.913517e+04, -5.774484e+10,4.848282e+09, 1.128682e+11,9.692365e+10, 7.771397e+11,4.623654e+10
1.543098e+06,8.436042e+04, -5.809094e+10,7.288658e+08, 1.111527e+11,9.886185e+10, 7.770711e+11,4.736289e+10
1.615405e+06,8.977057e+04, -5.814359e+10,-3.394232e+09, 1.094037e+11,1.007703e+11, 7.770008e+11,4.848913e+10
1.689319e+06,9.536618e+04, -5.790474e+10,-7.500313e+09, 1.076217e+11,1.026484e+11, 7.769289e+11,4.961528e+10
1.764841e+06,1.011479e+05, -5.737776e+10,-1.156907e+10, 1.058074e+11,1.044956e+11, 7.768554e+11,5.074132e+10
1.841967e+06,1.071163e+05, -5.656738e+10,-1.558069e+10, 1.039611e+11,1.063113e+11, 7.767802e+11,5.186725e+10
1.920699e+06,1.132722e+05, -5.547961e+10,-1.951591e+10, 1.020836e+11,1.080949e+11, 7.767034e+11,5.299307e+10
